itemID,item,item_type,category,choices,definition,gloss,complexity_category,,		
item_1,respond_name,understanding,first_signs,no; yes,1. Reageert op het roepen van zijn / haar naam (bv door zich te draaien en te kijken in de richting van het geluid).,responds to own name (by looking towards sound),,,	
item_2,respond_no,understanding,first_signs,no; yes,"2. Reageert op 'nee, nee' (door (eventjes) te stoppen waarmee hij / zij bezig is).","responds to 'no, no' (by stopping what they're doing)",
item_3,respond_there,understanding,first_signs,no; yes,3. Reageert op 'Daar is mama / papa' door rond te kijken om hen te zoeken.,responds to 'there's mommy / daddy' by looking around for them,,,
item_3a,first_signs_textbox,understanding,first_signs,no; yes,"Als u opmerkingen of aanvullingen hebt, mag u die hier noteren.",,,
item_4,aaike_doen,sentence,sentence,understands,"Aaike doen / Aaien (strelen, liefkozen, ...) / Ga maar aaien.",pet / got pet,
item_5,andere_luier,sentence,sentence,understands,Andere luier / pamper aandoen.,change diaper,,,		
item_6,ben_je_moe,sentence,sentence,understands,Ben je moe?,are you tired?,,,		
item_7,mond_open,sentence,sentence,understands,Doe je mondje (es) open.,open up,,,		
item_8,flinke_jongen,sentence,sentence,understands,Flinke jongen! / Grote jongen!,big boy,,,		
item_9,flinke_meid,sentence,sentence,understands,Flink meisje! / Grote meid!,big girl,,,		
item_10,ga_halen,sentence,sentence,understands,Ga eens ... halen. ,go get ...,,,		
item_11,eten_drinken,sentence,sentence,understands,Gaan we eten / drinken?,gonna eat / drink?,,,		
item_12,geef_aan,sentence,sentence,understands,Geef het aan mama (of papa...).,give to mommy,,,		
item_13,geef_kusje,sentence,sentence,understands,Geef mij (es) een kusje / zoentje.,give me kiss,,,		
item_14,gooi_bal,sentence,sentence,understands,Gooi (es) de bal.,trow the ball,,,		
item_15,heb_honger,sentence,sentence,understands,Heb je honger?,are you hungry?,,,		
item_16,kiele_kiele,sentence,sentence,understands,Kiele kiele doen (kriebelen).,tickle tickle,,,		
item_17,kijk_hier,sentence,sentence,understands,Kijk (es). / Kijk (es) hier.,look (here),,,		
item_18,klappen_in_handjes,sentence,sentence,understands,Klappen in handjes. / Klap es in je handjes.,clap your hands,,,		
item_19,kom_hier,sentence,sentence,understands,Kom (es) hier. / Kom aan. ,come here,,,
item_20,we_gaan,sentence,sentence,understands,"Kom, we gaan da da / weg.","come, we go bye-bye",	
item_21,gaan_slapen,sentence,sentence,understands,"Kom, we gaan slapen. / Do do doen.","come, we're going to sleep",	
item_22,niet_aankomen,sentence,sentence,understands,Niet aankomen.,don't touch,,,		
item_23,niet_doen,sentence,sentence,understands,Niet doen / mag niet.,don't / not allowed,,,		
item_24,opstaan,sentence,sentence,understands,Opstaan! / Wakker worden!,get up / wake up,,,		
item_25,is_thuis,sentence,sentence,understands,Papa / Mama is thuis.,daddy / mommy's home,,,		
item_26,spuw_uit,sentence,sentence,understands,Spuw het uit. / Spuug dat es uit.,spit it out,,,		
item_27,sta_recht,sentence,sentence,understands,Sta (es) recht.,stand up,,,		
item_28,sta_stil,sentence,sentence,understands,Sta / Zit (es) stil.,stand / sit still,,,		
item_29,stil,sentence,sentence,understands,Stil! / Stilletjes! / Sst! / Wees es even stil!,be quiet,,,		
item_30,stop,sentence,sentence,understands,Stop ermee. / Hou op.,stop that,,,		
item_31,voorzichtig,sentence,sentence,understands,Voorzichtig! / Pas op!,be careful,,,		
item_32,wijs,sentence,sentence,understands,Wijs / Toon eens ... (bv. de auto),point to / show me ... (the car),,,		
item_33,wil_je,sentence,sentence,understands,Wil je nog (een beetje)?,you want (some) more?,,,		
item_34,zit_neer,sentence,sentence,understands,Zit (es) neer. / Zit (es) op je poep.,sit down,,,
item_34a,sentence_textbox,sentence,sentence,understands,"Als u opmerkingen of aanvullingen hebt, mag u die hier noteren.",,,		
item_35,nazeggen,first_words,first_words,never; sometimes; often,"1. Sommige kinderen imiteren of zeggen graag dingen na die ze juist gehoord hebben, zowel woordjes als delen van zinnetjes (bv. herhalen van 'we' of 'weg' nadat mama heeft gezegd: 'mama gaat nu weg'). Hoe vaak imiteert uw kind woorden?",some kids immitate or repeat words. How often does your child do this?,,
item_36,benoemen,first_words,first_words,never; sometimes; often,"2. Sommige kinderen benoemen graag dingen, alsof ze trots zijn dat ze de naam kennen en dat willen tonen. Hoe vaak doet uw kind dit?",,,
item_36a,first_words_textbox,first_words,first_words,never; sometimes; often,"Als u opmerkingen of aanvullingen hebt, mag u die hier noteren.",,,
item_37,au,word,sounds,understands; produces,au / ai (pijn),ouch,,,	
item_38,bah,word,sounds,understands; produces,bah (vies / vuil),ew / yuck,,,	
item_39,beh_beh,word,sounds,understands; produces,beh beh (schaap),baa baa,,,	
item_40,beu,word,sounds,understands; produces,beu / boe / meu / moeh (koe),moo,,,	
item_41,boem,word,sounds,understands; produces,boem (iets dat valt of botst),blub (fish),,,	
item_42,grrr,word,sounds,understands; produces,grrr (grommen),grrr,,,	
item_43,kukelukuu,word,sounds,understands; produces,kukelukuu (haan),cockadoodledoo,,,	
item_44,kwak,word,sounds,understands; produces,kwak kwak (eend),quack quack,,,	
item_45,miauw,word,sounds,understands; produces,miauw / mauw (poes),meow,,,	
item_46,mjam_mjam,word,sounds,understands; produces,mjam mjam (lekker),yum yum,,,	
item_47,oh_ooh,word,sounds,understands; produces,oh ooh (verbazing),uh oh,,,	
item_48,ssss,word,sounds,understands; produces,ssss (slang),hiss (snake),,,	
item_49,tik_tak,word,sounds,understands; produces,tik tak (uurwerk),tick tock (clock),,,	
item_50,tjoek_tjoek,word,sounds,understands; produces,tjoek(e) tjoek (trein),choo choo,,,	
item_51,vroem,word,sounds,understands; produces,vroem / broem (auto),vroom,,,	
item_52,waf_waf,word,sounds,understands; produces,waf waf (hond),woof woof,,,
item_52a,sounds_textbox,word,sounds,understands; produces,"Als u opmerkingen of aanvullingen hebt, mag u die hier noteren.",,,	
item_53,aap,word,animals,understands; produces,aap,monkey,,,	
item_54,beer,word,animals,understands; produces,beer,bear,,,	
item_55,bij,word,animals,understands; produces,bij,bee,,,	
item_56,dier,word,animals,understands; produces,dier / beest,animal,,,	
item_57,eekhoorn,word,animals,understands; produces,eekhoorn,squirrel,,,	
item_58,eend,word,animals,understands; produces,eend,duck,,,	
item_59,ezel,word,animals,understands; produces,ezel,donkey,,,	
item_60,geit,word,animals,understands; produces,geit,goat,,,	
item_61,giraf,word,animals,understands; produces,giraf,giraffe,,,	
item_64,hert,word,animals,understands; produces,hert / Bambi,deer,,,	
item_65,hond,word,animals,understands; produces,hond(je),dog/puppy,,,	
item_66,kat,word,animals,understands; produces,kat / poes(je),cat/kitty,,,	
item_67,kikker,word,animals,understands; produces,kikker,frog,,,	
item_68,kip.dier,word,animals,understands; produces,kip,chicken (animal),,,	
item_69,koe,word,animals,understands; produces,koe,cow,,,	
item_70,konijn,word,animals,understands; produces,konijn,bunny,,,	
item_71,krokodil,word,animals,understands; produces,krokodil,alligator,,,	
item_72,kuiken,word,animals,understands; produces,kuiken,chick,,,	
item_73,lam,word,animals,understands; produces,lam(metje),lamb,,,	
item_74,leeuw,word,animals,understands; produces,leeuw,lion,,,	
item_75,mug,word,animals,understands; produces,mug,mosquito,,,	
item_76,muis,word,animals,understands; produces,muis,mouse,,,	
item_77,olifant,word,animals,understands; produces,olifant,elephant,,,	
item_78,paard,word,animals,understands; produces,paard,horse,,,	
item_79,pinguin,word,animals,understands; produces,pinguin,penguin,,,	
item_80,schaap,word,animals,understands; produces,schaap,sheep,,,	
item_81,schildpad,word,animals,understands; produces,schildpad,turtle,,,	
item_82,slang,word,animals,understands; produces,slang,snake,,,	
item_83,spin,word,animals,understands; produces,spin,spider,,,	
item_84,teddybeer,word,animals,understands; produces,teddybeer,teddybear,,,	
item_85,tijger,word,animals,understands; produces,tijger,tiger,,,	
item_86,uil,word,animals,understands; produces,uil,owl,,,	
item_87,varken,word,animals,understands; produces,varken,pig,,,	
item_88,vis.dier,word,animals,understands; produces,vis,fish (animal),,,	
item_89,vlieg,word,animals,understands; produces,vlieg,fly,,,	
item_90,vlinder,word,animals,understands; produces,vlinder,butterfly,,,	
item_91,vogel,word,animals,understands; produces,vogel,bird,,,	
item_92,wolf,word,animals,understands; produces,wolf,wolf,,,
item_92a,animals_textbox,word,animals,understands; produces,"Als u opmerkingen of aanvullingen hebt, mag u die hier noteren.",,,		
item_93,auto,word,vehicles,understands; produces,auto,car,,,	
item_94,brandweerwagen,word,vehicles,understands; produces,brandweerwagen / brandweerauto,firetruck,,,	
item_95,brommer,word,vehicles,understands; produces,brommer / bromfiets / moto(r) / motorfiets,motorcycle,,,	
item_96,buggy,word,vehicles,understands; produces,buggy,buggy,,,	
item_97,bus,word,vehicles,understands; produces,bus,bus,,,	
item_98,fiets,word,vehicles,understands; produces,fiets,bicycle,,,	
item_99,kinderwagen,word,vehicles,understands; produces,kinderwagen / koets,stoller,,,	
item_100,tractor,word,vehicles,understands; produces,tractor,tractor,,,	
item_101,trein,word,vehicles,understands; produces,trein,train,,,	
item_102,vliegtuig,word,vehicles,understands; produces,vliegtuig,airplane,,,	
item_103,vrachtwagen,word,vehicles,understands; produces,vrachtwagen / camion / vrachtauto,truck,,,	
item_104,ziekenwagen,word,vehicles,understands; produces,ziekenwagen / ambulance / ziekenauto,ambulance,,,
item_104a,vehicles_textbox,word,vehicles,understands; produces,"Als u opmerkingen of aanvullingen hebt, mag u die hier noteren.",,,	
item_105,bal,word,toys,understands; produces,bal,ball,,,	
item_106,ballon,word,toys,understands; produces,ballon,balloon,,,	
item_107,blokken,word,toys,understands; produces,blokken,block,,,	
item_108,boek,word,toys,understands; produces,boek,book,,,	
item_109,bubbels,word,toys,understands; produces,bubbels / zeepbellen / bellen / bellenblaas,bubbles,,,	
item_110,kralen,word,toys,understands; produces,kralen / parels,beads,,,	
item_111,naam_knuffel,word,toys,understands; produces,naam van knuffel / doekje / lappenpop van het kind,name of stuffed animal / blanky / doll of child,,,	
item_112,pen,word,toys,understands; produces,pen / stylo,pen,,,	
item_113,pop,word,toys,understands; produces,pop,doll,,,	
item_114,schommelpaard,word,toys,understands; produces,schommelpaard / hobbelpaard,pencil,,,	
item_115,speelgoed,word,toys,understands; produces,speelgoed,toy,,,
item_115a,toys_textbox,word,toys,understands; produces,"Als u opmerkingen of aanvullingen hebt, mag u die hier noteren.",,,		
item_116,appel,word,food_drink,understands; produces,appel,apple,,,	
item_117,appelsien,word,food_drink,understands; produces,appelsien / sinaasappel,orange (food),,,	
item_118,banaan,word,food_drink,understands; produces,banaan,banana,,,	
item_119,beschuit,word,food_drink,understands; produces,beschuit(je) / cracot(je) / crackertje,cracker,,,	
item_120,boter,word,food_drink,understands; produces,boter,butter,,,	
item_121,boterham,word,food_drink,understands; produces,boterham,sandwich / slice of bread,,,	
item_122,brood,word,food_drink,understands; produces,brood,bread,,,	
item_123,cake,word,food_drink,understands; produces,cake,cake,,,	
item_124,chips,word,food_drink,understands; produces,chips,potato chip,,,	
item_125,chocola,word,food_drink,understands; produces,chocola(de),chocolate,,,	
item_126,cola,word,food_drink,understands; produces,cola,coke,,,	
item_127,cornflakes,word,food_drink,understands; produces,cornflakes / muesli,cereal,,,	
item_128,drankje,word,food_drink,understands; produces,drankje / drinken / blikje,drink (beverage),,,	
item_129,druif,word,food_drink,understands; produces,druif,grapes,,,	
item_130,ei,word,food_drink,understands; produces,ei(tje),egg,,,	
item_131,erwtjes,word,food_drink,understands; produces,erwtjes,peas,,,	
item_132,eten,word,food_drink,understands; produces,(het) eten,food,,,	
item_133,fruitsap,word,food_drink,understands; produces,fruitsap / sap,juice,,,	
item_134,fristi,word,food_drink,understands; produces,Fristi / Jogidrink,A type of Yoghurt and fruit drink,,,	
item_135,fruitpap,word,food_drink,understands; produces,fruitpap / fruithapje,jelly,,,	
item_136,toast,word,food_drink,understands; produces,geroosterd brood / toast,toast,,,	
item_137,ijsje,word,food_drink,understands; produces,ijs(je) / crème,ice cream,,,	
item_138,kaas,word,food_drink,understands; produces,kaas,cheese,,,	
item_139,kip.eten,word,food_drink,understands; produces,kip,chicken (food),,,	
item_140,koekje,word,food_drink,understands; produces,koekje,cookie,,,	
item_141,koffie,word,food_drink,understands; produces,koffie / thee,coffee / tea,,,	
item_142,limonade,word,food_drink,understands; produces,limonade,lemonade,,,	
item_143,melk,word,food_drink,understands; produces,melk,milk,,,	
item_144,pap,word,food_drink,understands; produces,pap,porridge,,,	
item_145,aardappel,word,food_drink,understands; produces,patatjes / aardappelen,potato,,,	
item_146,peer,word,food_drink,understands; produces,peer,pear,,,	
item_147,rijst,word,food_drink,understands; produces,rijst,rice,,,	
item_148,rozijn,word,food_drink,understands; produces,rozijn,raisin,,,	
item_149,snoepje,word,food_drink,understands; produces,snoepje,candy,,,	
item_150,spaghetti,word,food_drink,understands; produces,spaghetti,spaghetti,,,	
item_151,taart,word,food_drink,understands; produces,taart,cake,,,	
item_152,vis.eten,word,food_drink,understands; produces,vis,fish (food),,,	
item_153,vlees,word,food_drink,understands; produces,vlees,meat,,,	
item_154,water.drank,word,food_drink,understands; produces,water,water (beverage),,,	
item_155,wortel,word,food_drink,understands; produces,wortel(tjes),carrots,,,	
item_156,yoghurt,word,food_drink,understands; produces,yoghurt,yogurt,,,
item_156a,food_drink_textbox,word,food_drink,understands; produces,"Als u opmerkingen of aanvullingen hebt, mag u die hier noteren.",,,		
item_157,alstublieft,word,games_routines,understands; produces,a.u.b. / alstublieft,please,,,	
item_158,bravo,word,games_routines,understands; produces,bravo!,bravo / hurray,,,	
item_159,da_da,word,games_routines,understands; produces,da da / daaag,bye,,,	
item_160,dank_u,word,games_routines,understands; produces,dank u / dank u wel,thank you,,,	
item_161,bad_nemen,word,games_routines,understands; produces,een bad nemen,taking a bath,,,	
item_162,dutje_doen,word,games_routines,understands; produces,een dutje / tukje doen,taking a nap,,,	
item_163,eten,word,games_routines,understands; produces,"eten (bijv. komen eten, ...)",eat / dinner,,	
item_164,hallo,word,games_routines,understands; produces,hallo / hoi*,hello,,,	
item_165,handjes,word,games_routines,understands; produces,handjes draaien,wave your hands,,,	
item_166,hebben,word,games_routines,understands; produces,hebben / willen,have / want,,,	
item_167,hokus_pokus,word,games_routines,understands; produces,'hokus pokus' (of andere goocheltermen),hocus pocus (or other magic terms),,,	
item_168,ja,word,games_routines,understands; produces,ja,yes,,,	
item_169,kiekeboe,word,games_routines,understands; produces,kiekeboe,peekaboo,,,	
item_170,nee,word,games_routines,understands; produces,neen / nee,no,,,	
item_171,slaap_lekker,word,games_routines,understands; produces,slaap lekker / slaap wel / welterusten,night night,,,	
item_172,sst,word,games_routines,understands; produces,sst,shh,,,	
item_173,wacht,word,games_routines,understands; produces,wacht!,wait!,,,
item_173a,games_routines_textbox,word,games_routines,understands; produces,"Voor het item met een *, als uw kind iets anders zegt, kunt u het hier invullen. Als u verdere opmerkingen of aanvullingen hebt, mag u die hier noteren.",,,		
item_174,ketting,word,clothing,understands; produces,(hals)ketting,necklace,,,	
item_175,hemd,word,clothing,understands; produces,hemd / bloes,shirt,,,	
item_176,hoed,word,clothing,understands; produces,hoed,hat,,,	
item_177,jas,word,clothing,understands; produces,jas(je) / mantel,coat / jacket,,,	
item_178,jeans,word,clothing,understands; produces,jeans(broek) / spijkerbroek,jeans,,,	
item_179,kleedje,word,clothing,understands; produces,kleedje / jurkje,dress,,,	
item_180,knoop,word,clothing,understands; produces,knoop,button,,,	
item_181,laarsjes,word,clothing,understands; produces,laarsjes / botjes,boots,,,	
item_182,broek,word,clothing,understands; produces,(lange) broek,pants,,,	
item_183,luier,word,clothing,understands; produces,luier / pamper,diaper,,,	
item_184,muts,word,clothing,understands; produces,muts,hat (knitted),,,	
item_185,onderbroek,word,clothing,understands; produces,onderbroek(je) / slipje / broekje,underpants,,,	
item_186,onderhemd,word,clothing,understands; produces,onderhemd(je),top,,,	
item_187,pyjama,word,clothing,understands; produces,pyjama / slaapkleed / nachtjapon,pyjama / nightgown,,,	
item_188,rits,word,clothing,understands; produces,rits,zipper,,,	
item_189,schoen,word,clothing,understands; produces,schoen,shoe,,,	
item_190,short,word,clothing,understands; produces,short / korte broek,shorts,,,	
item_191,slabbetje,word,clothing,understands; produces,slabbetje / bavet,bib,,,	
item_192,sok,word,clothing,understands; produces,sok / kous,sock,,,	
item_193,trui,word,clothing,understands; produces,trui / sweater / pull,sweater,,,	
item_194,T-shirt,word,clothing,understands; produces,T-shirt,T-shirt,,,
item_194a,clothing_textbox,word,clothing,understands; produces,"Als u opmerkingen of aanvullingen hebt, mag u die hier noteren.",,,	
item_195,arm,word,body_parts,understands; produces,arm,arm,,,	
item_196,been,word,body_parts,understands; produces,been,leg,,,	
item_197,billen,word,body_parts,understands; produces,billen / poep,buttocks/bottom*,,,	
item_198,buik,word,body_parts,understands; produces,buik,tummy,,,	
item_199,gezicht,word,body_parts,understands; produces,gezicht,face,,,	
item_200,haar,word,body_parts,understands; produces,haar,hair,,,	
item_201,hand,word,body_parts,understands; produces,hand,hand,,,	
item_202,hoofd,word,body_parts,understands; produces,hoofd,head,,,	
item_203,knie,word,body_parts,understands; produces,knie,knee,,,	
item_204,mond,word,body_parts,understands; produces,mond,mouth,,,	
item_205,navel,word,body_parts,understands; produces,navel,belly button,,,	
item_206,neus,word,body_parts,understands; produces,neus,nose,,,	
item_207,oog,word,body_parts,understands; produces,oog,eye,,,	
item_208,oor,word,body_parts,understands; produces,oor,ear,,,	
item_209,rug,word,body_parts,understands; produces,rug,back,,,	
item_210,tand,word,body_parts,understands; produces,tand,tooth,,,	
item_211,teen,word,body_parts,understands; produces,teen,toe,,,	
item_212,tong,word,body_parts,understands; produces,tong,tongue,,,	
item_213,vinger,word,body_parts,understands; produces,vinger,finger,,,	
item_214,voet,word,body_parts,understands; produces,voet,foot,,,	
item_215,wang,word,body_parts,understands; produces,wang / kaak,cheek,,,
item_215a,body_parts_textbox,word,body_parts,understands; produces,"Als u opmerkingen of aanvullingen hebt, mag u die hier noteren.",,,		
item_216,acquarium,word,furniture_rooms,understands; produces,acquarium / visbak / vissekom,aquarium,,,	
item_217,box,word,furniture_rooms,understands; produces,(baby)box / park,play pen,,,	
item_218,bad,word,furniture_rooms,understands; produces,bad,bathtub,,,	
item_219,badkamer,word,furniture_rooms,understands; produces,badkamer,bathroom,,,	
item_220,bed,word,furniture_rooms,understands; produces,bed,bed,,,	
item_221,bureau,word,furniture_rooms,understands; produces,bureau,desk or office,,,	
item_222,deur,word,furniture_rooms,understands; produces,deur,door,,,	
item_223,fornuis,word,furniture_rooms,understands; produces,fornuis / vuur / kookplaat,stove (top),,,	
item_224,garage,word,furniture_rooms,understands; produces,garage,garage,,,	
item_225,gootsteen,word,furniture_rooms,understands; produces,gootsteen / afwasbak,sink,,,	
item_226,kachel,word,furniture_rooms,understands; produces,kachel / open haard,fireplace,,,	
item_228,kast,word,furniture_rooms,understands; produces,kast,closet,,,	
item_229,kelder,word,furniture_rooms,understands; produces,kelder,basement,,,	
item_230,keuken,word,furniture_rooms,understands; produces,keuken,kitchen,,,	
item_231,kinderstoel,word,furniture_rooms,understands; produces,kinderstoel,high chair,,,	
item_232,koelkast,word,furniture_rooms,understands; produces,koelkast / frigo / ijskast / diepvries,refrigerator,,,	
item_233,lade,word,furniture_rooms,understands; produces,lade / schuif,drawer,,,	
item_234,oven,word,furniture_rooms,understands; produces,oven,oven,,,	
item_235,potje,word,furniture_rooms,understands; produces,potje,potty,,,	
item_236,raam,word,furniture_rooms,understands; produces,raam / venster,window,,,	
item_237,radio,word,furniture_rooms,understands; produces,radio,radio,,,	
item_238,schommelstoel,word,furniture_rooms,understands; produces,schommelstoel,rocking chair,,,	
item_239,slaapkamer,word,furniture_rooms,understands; produces,slaapkamer,bedroom,,,	
item_241,stoel,word,furniture_rooms,understands; produces,stoel,chair,,,	
item_245,televisie,word,furniture_rooms,understands; produces,T.V. / televisie,TV,,,	
item_242,tafel,word,furniture_rooms,understands; produces,tafel,table,,,	
item_244,trap,word,furniture_rooms,understands; produces,trap(pen),stairs,,,	
item_246,video,word,furniture_rooms,understands; produces,video (recorder),video (recorder),,,	
item_248,w.c.,word,furniture_rooms,understands; produces,W.C. / toilet,toilet,,,	
item_250,wieg,word,furniture_rooms,understands; produces,wieg,crib,,,	
item_251,woonkamer,word,furniture_rooms,understands; produces,woonkamer / living / huiskamer,living room,,,	
item_252,zetel,word,furniture_rooms,understands; produces,zetel / divan / sofa / bank,couch / sofa,,,	
item_253,zolder,word,furniture_rooms,understands; produces,zolder,attic,,,
item_253a,furniture_rooms_textbox,word,furniture_rooms,understands; produces,"Als u opmerkingen of aanvullingen hebt, mag u die hier noteren.",,,		
item_254,afval,word,household,understands; produces,afval / rommel,trash / mess,,,	
item_255,tas,word,household,understands; produces,beker / kopje / tas,cup,,,	
item_256,bezem,word,household,understands; produces,bezem,broom,,,	
item_257,bord,word,household,understands; produces,bord,plate,,,	
item_258,borstel,word,household,understands; produces,borstel / veger,brush,,,	
item_259,bril,word,household,understands; produces,bril,glasses,,,	
item_260,deken,word,household,understands; produces,deken / dekbed,blanket,,,	
item_261,doos,word,household,understands; produces,doos,box,,,	
item_262,fles,word,household,understands; produces,fles,bottle,,,	
item_263,foto,word,household,understands; produces,foto,picture,,,	
item_264,geld,word,household,understands; produces,geld / centen / centjes,money,,,	
item_265,glas,word,household,understands; produces,glas,glass,,,	
item_266,hamer,word,household,understands; produces,hamer,hammer,,,	
item_267,handdoek,word,household,understands; produces,handdoek,towel,,,	
item_268,handtas,word,household,understands; produces,handtas / tas,purse,,,	
item_601,horloge,word,household,understands; produces,horloge / uurwerk / klokje,watch,,,	
item_269,kam,word,household,understands; produces,kam,comb,,,	
item_270,klok,word,household,understands; produces,klok,clock,,,	
item_271,kom,word,household,understands; produces,kom / schaal,bowl,,,	
item_272,krant,word,household,understands; produces,krant,newspaper,,,	
item_273,kussen,word,household,understands; produces,kussen,pillow,,,	
item_274,lamp,word,household,understands; produces,lamp / licht,lamp,,,	
item_275,lepel,word,household,understands; produces,lepel,spoon,,,	
item_276,medicijn,word,household,understands	produces,"medicijn(en) (siroop, pilletje, drankje)",medicine,
item_277,mes,word,household,understands; produces,mes,knife,,,	
item_278,plant,word,household,understands; produces,plant,plant,,,	
item_279,portemonnee,word,household,understands; produces,portemonnee,wallet,,,	
item_280,schaar,word,household,understands; produces,schaar,scissors,,,	
item_281,sleutels,word,household,understands; produces,sleutel(s),key(s),,,	
item_282,stofzuiger,word,household,understands; produces,stofzuiger,vacuum,,,	
item_283,tandenborstel,word,household,understands; produces,tandenborstel,toothbrush,,,	
item_284,telefoon,word,household,understands; produces,telefoon,telephone,,,	
item_285,tut,word,household,understands; produces,tut(je) / (fop)speen,pacifier,,,	
item_286,vork,word,household,understands; produces,vork,fork,,,	
item_287,washandje,word,household,understands; produces,washandje,wash cloth,,,	
item_288,zeep,word,household,understands; produces,zeep,soap,,,
