choice_set,choice_set_en,choice_set_es,choice_set_fr_ca,choice_set_en_ca,choice_set_nl,choice_set_he,choice_set_ko
produces,produces,produce,dit,produces,zegt,מייצר,표현한다
not yet; sometimes; often,not yet; sometimes; often,todavía no; de vez en cuando; frecuentemente,pas encore; parfois; souvent,not yet; sometimes; often,nog niet; soms; vaak, עדיין לא; לפעמים; לעתים קרובות,아직 못함; 가끔; 종종
simple; complex,simple; complex,simple; complex,simple; complex,simple; complex, eenvoudig; complex, פשוט; מורכב,1; 2
no; yes,no; yes,no; sí,non; oui, no; yes, nee; ja, לא; כן,아니오; 네
understands,understands,comprende,comprend,understands, begrijpt, מבין,이해한다
never; sometimes; often,never; sometimes; often,todavía no; de vez en cuando; frecuentemente,jamais; parfois; souvent,never; sometimes; often, nooit; soms; veel, לעולם לא; לפעמים; לעתים קרובות,전혀; 가끔; 종종
understands; produces,understands; produces,comprende; produce,comprend; dit,understands; produces, begrijpen; begrijpen en zeggen, מבין; מייצר,이해한다; 표현한다
pronoun; article,pronoun; article,,pronoun; article, pronoun; article, voornaamwoord; lidwoord, כנוי; מאמר,대명사; 관사
1; 2,1; 2,,,,,,1; 2
