age,quantile,predicted,Instrument,measure
8,0.1,0,English_WG,production
9,0.1,0,English_WG,production
10,0.1,0,English_WG,production
11,0.1,0.035161449,English_WG,production
12,0.1,0.370376857,English_WG,production
13,0.1,1.1425803482,English_WG,production
14,0.1,2.3543305181,English_WG,production
15,0.1,4.0056273665,English_WG,production
16,0.1,6.0964708935,English_WG,production
17,0.1,8.6268610991,English_WG,production
18,0.1,11.5967979833,English_WG,production
8,0.15,0,English_WG,production
9,0.15,0,English_WG,production
10,0.15,0.0518248488,English_WG,production
11,0.15,0.3322280194,English_WG,production
12,0.15,0.93640798,English_WG,production
13,0.15,2.1385513838,English_WG,production
14,0.15,3.9415450154,English_WG,production
15,0.15,6.345388875,English_WG,production
16,0.15,9.3500829625,English_WG,production
17,0.15,12.9556272779,English_WG,production
18,0.15,17.1620218212,English_WG,production
8,0.2,0,English_WG,production
9,0.2,0,English_WG,production
10,0.2,0.1659885577,English_WG,production
11,0.2,0.5590159221,English_WG,production
12,0.2,1.4897930555,English_WG,production
13,0.2,3.1069426759,English_WG,production
14,0.2,5.4104647834,English_WG,production
15,0.2,8.4003593778,English_WG,production
16,0.2,12.0766264594,English_WG,production
17,0.2,16.4392660279,English_WG,production
18,0.2,21.4882780835,English_WG,production
8,0.25,0,English_WG,production
9,0.25,0,English_WG,production
10,0.25,0.3406731149,English_WG,production
11,0.25,0.8982603861,English_WG,production
12,0.25,2.0294907612,English_WG,production
13,0.25,4.0420134342,English_WG,production
14,0.25,6.9378396625,English_WG,production
15,0.25,10.7169694463,English_WG,production
16,0.25,15.3794027854,English_WG,production
17,0.25,20.92513968,English_WG,production
18,0.25,27.35418013,English_WG,production
8,0.3,0,English_WG,production
9,0.3,0.0790772776,English_WG,production
10,0.3,0.4898777538,English_WG,production
11,0.3,1.1965152688,English_WG,production
12,0.3,2.702012578,English_WG,production
13,0.3,5.1368423431,English_WG,production
14,0.3,8.5010045643,English_WG,production
15,0.3,12.7944992414,English_WG,production
16,0.3,18.0173263746,English_WG,production
17,0.3,24.1694859638,English_WG,production
18,0.3,31.250978009,English_WG,production
8,0.35,0,English_WG,production
9,0.35,0.2008099377,English_WG,production
10,0.35,0.8358372068,English_WG,production
11,0.35,1.838463474,English_WG,production
12,0.35,3.4001552297,English_WG,production
13,0.35,6.1505899801,English_WG,production
14,0.35,10.1434492033,English_WG,production
15,0.35,15.3787328993,English_WG,production
16,0.35,21.8564410681,English_WG,production
17,0.35,29.5765737097,English_WG,production
18,0.35,38.5391308241,English_WG,production
8,0.4,0,English_WG,production
9,0.4,0.3001016769,English_WG,production
10,0.4,1.0490684216,English_WG,production
11,0.4,2.2315904454,English_WG,production
12,0.4,4.0670577102,English_WG,production
13,0.4,7.2769798846,English_WG,production
14,0.4,11.9228673532,English_WG,production
15,0.4,18.0047201159,English_WG,production
16,0.4,25.5225381728,English_WG,production
17,0.4,34.4763215238,English_WG,production
18,0.4,44.8660701689,English_WG,production
8,0.45,0.0788766858,English_WG,production
9,0.45,0.474000575,English_WG,production
10,0.45,1.4122500851,English_WG,production
11,0.45,2.8936614676,English_WG,production
12,0.45,5.28128062,English_WG,production
13,0.45,9.0730359697,English_WG,production
14,0.45,14.274556924,English_WG,production
15,0.45,20.885843483,English_WG,production
16,0.45,28.9068956467,English_WG,production
17,0.45,38.3377134149,English_WG,production
18,0.45,49.1782967878,English_WG,production
8,0.5,0.4405712093,English_WG,production
9,0.5,0.8724250715,English_WG,production
10,0.5,1.8978924899,English_WG,production
11,0.5,3.5169734647,English_WG,production
12,0.5,5.9923260731,English_WG,production
13,0.5,10.1877562097,English_WG,production
14,0.5,16.1769053446,English_WG,production
15,0.5,23.9597734779,English_WG,production
16,0.5,33.5363606096,English_WG,production
17,0.5,44.9066667397,English_WG,production
18,0.5,58.0706918682,English_WG,production
8,0.55,0.5137572728,English_WG,production
9,0.55,1.0131810665,English_WG,production
10,0.55,2.1990980474,English_WG,production
11,0.55,4.0715578346,English_WG,production
12,0.55,7.1274762822,English_WG,production
13,0.55,12.0483885117,English_WG,production
14,0.55,18.8419997245,English_WG,production
15,0.55,27.5083099206,English_WG,production
16,0.55,38.0473191,English_WG,production
17,0.55,50.4590272626,English_WG,production
18,0.55,64.7434344086,English_WG,production
8,0.6,1.0214738864,English_WG,production
9,0.6,1.5939719609,English_WG,production
10,0.6,2.9534089694,English_WG,production
11,0.6,5.0997849119,English_WG,production
12,0.6,8.2906413136,English_WG,production
13,0.6,13.8313612145,English_WG,production
14,0.6,21.951425264,English_WG,production
15,0.6,32.6508334621,English_WG,production
16,0.6,45.9295858088,English_WG,production
17,0.6,61.7876823042,English_WG,production
18,0.6,80.2251229481,English_WG,production
8,0.65,1.1474402896,English_WG,production
9,0.65,1.8563412669,English_WG,production
10,0.65,3.5396765771,English_WG,production
11,0.65,6.1974462203,English_WG,production
12,0.65,9.8582820371,English_WG,production
13,0.65,15.8293447554,English_WG,production
14,0.65,24.8820609706,English_WG,production
15,0.65,37.0164306828,English_WG,production
16,0.65,52.2324538918,English_WG,production
17,0.65,70.5301305978,English_WG,production
18,0.65,91.9094608007,English_WG,production
8,0.7,1.425656318,English_WG,production
9,0.7,2.219175353,English_WG,production
10,0.7,4.1034422025,English_WG,production
11,0.7,7.0784568665,English_WG,production
12,0.7,11.1442296306,English_WG,production
13,0.7,17.2651872843,English_WG,production
14,0.7,27.222122128,English_WG,production
15,0.7,41.090090146,English_WG,production
16,0.7,58.8690913384,English_WG,production
17,0.7,80.5591257052,English_WG,production
18,0.7,106.1601932464,English_WG,production
8,0.75,2.0555692018,English_WG,production
9,0.75,2.965449378,English_WG,production
10,0.75,5.1260239546,English_WG,production
11,0.75,8.5372929314,English_WG,production
12,0.75,13.1992563085,English_WG,production
13,0.75,19.8836950421,English_WG,production
14,0.75,31.3105127093,English_WG,production
15,0.75,47.736126306,English_WG,production
16,0.75,69.1605358322,English_WG,production
17,0.75,95.5837412879,English_WG,production
18,0.75,127.005742673,English_WG,production
8,0.8,2.9056257313,English_WG,production
9,0.8,3.9463710975,English_WG,production
10,0.8,6.4176942867,English_WG,production
11,0.8,10.319595299,English_WG,production
12,0.8,15.6520741343,English_WG,production
13,0.8,23.1889140145,English_WG,production
14,0.8,36.0544375896,English_WG,production
15,0.8,54.6499149199,English_WG,production
16,0.8,78.9753460055,English_WG,production
17,0.8,109.0307308464,English_WG,production
18,0.8,144.8160694425,English_WG,production
8,0.85,3.7167285173,English_WG,production
9,0.85,4.9060848061,English_WG,production
10,0.85,7.7302951,English_WG,production
11,0.85,12.1893593991,English_WG,production
12,0.85,18.3223294088,English_WG,production
13,0.85,28.2458092706,English_WG,production
14,0.85,43.5036575659,English_WG,production
15,0.85,64.1029384018,English_WG,production
16,0.85,90.0436517785,English_WG,production
17,0.85,121.3257976958,English_WG,production
18,0.85,157.9493761538,English_WG,production
8,0.9,5.5669757267,English_WG,production
9,0.9,6.8539183285,English_WG,production
10,0.9,9.9098541975,English_WG,production
11,0.9,14.7349275748,English_WG,production
12,0.9,22.9271401138,English_WG,production
13,0.9,36.9724499854,English_WG,production
14,0.9,56.9362874956,English_WG,production
15,0.9,82.8186526442,English_WG,production
16,0.9,114.6195454313,English_WG,production
17,0.9,152.3389658569,English_WG,production
18,0.9,195.9769139211,English_WG,production
16,0.1,8.8065132941,English_WS,production
17,0.1,10.3755152047,English_WS,production
18,0.1,13.8614406469,English_WS,production
19,0.1,19.2642896208,English_WS,production
20,0.1,26.5840621262,English_WS,production
21,0.1,35.8771890057,English_WS,production
22,0.1,48.6239134613,English_WS,production
23,0.1,65.9637951779,English_WS,production
24,0.1,87.9048575887,English_WS,production
25,0.1,114.4471006937,English_WS,production
26,0.1,145.5905244928,English_WS,production
27,0.1,181.3351289861,English_WS,production
28,0.1,221.6809141736,English_WS,production
29,0.1,266.6278800553,English_WS,production
30,0.1,316.1760266311,English_WS,production
16,0.15,11.0883102859,English_WS,production
17,0.15,13.4515641096,English_WS,production
18,0.15,18.7021164349,English_WS,production
19,0.15,26.8399672619,English_WS,production
20,0.15,37.8651165906,English_WS,production
21,0.15,52.1096503586,English_WS,production
22,0.15,70.5746808054,English_WS,production
23,0.15,93.3412637791,English_WS,production
24,0.15,120.4093992798,English_WS,production
25,0.15,151.7790873074,English_WS,production
26,0.15,187.450327862,English_WS,production
27,0.15,227.4231209434,English_WS,production
28,0.15,271.6974665519,English_WS,production
29,0.15,320.2733646872,English_WS,production
30,0.15,373.1508153495,English_WS,production
16,0.2,14.1597006708,English_WS,production
17,0.2,17.2042315421,English_WS,production
18,0.2,23.9684091712,English_WS,production
19,0.2,34.452233558,English_WS,production
20,0.2,48.6557047027,English_WS,production
21,0.2,66.7598800519,English_WS,production
22,0.2,89.3105786404,English_WS,production
23,0.2,116.3519931402,English_WS,production
24,0.2,147.8841235512,English_WS,production
25,0.2,183.9069698735,English_WS,production
26,0.2,224.4205321071,English_WS,production
27,0.2,269.4248102519,English_WS,production
28,0.2,318.9198043081,English_WS,production
29,0.2,372.9055142755,English_WS,production
30,0.2,431.3819401541,English_WS,production
16,0.25,17.8295132791,English_WS,production
17,0.25,21.5873560699,English_WS,production
18,0.25,29.9363323865,English_WS,production
19,0.25,42.8764422289,English_WS,production
20,0.25,60.4076855971,English_WS,production
21,0.25,82.530062491,English_WS,production
22,0.25,109.2435729108,English_WS,production
23,0.25,140.5482168563,English_WS,production
24,0.25,176.4439943275,English_WS,production
25,0.25,216.9309053246,English_WS,production
26,0.25,262.0089498474,English_WS,production
27,0.25,311.4943468337,English_WS,production
28,0.25,362.0154988143,English_WS,production
29,0.25,412.1521893855,English_WS,production
30,0.25,461.9044185473,English_WS,production
16,0.3,21.182137892,English_WS,production
17,0.3,26.5738059206,English_WS,production
18,0.3,36.8773275653,English_WS,production
19,0.3,52.092702826,English_WS,production
20,0.3,72.2199317028,English_WS,production
21,0.3,97.2590141957,English_WS,production
22,0.3,127.2099503047,English_WS,production
23,0.3,162.0727400298,English_WS,production
24,0.3,201.8473833709,English_WS,production
25,0.3,246.5338803281,English_WS,production
26,0.3,296.1322309014,English_WS,production
27,0.3,349.1718799856,English_WS,production
28,0.3,400.0345243388,English_WS,production
29,0.3,448.0874043989,English_WS,production
30,0.3,493.3305201658,English_WS,production
16,0.35,24.8826293432,English_WS,production
17,0.35,32.2393098048,English_WS,production
18,0.35,44.9607579501,English_WS,production
19,0.35,63.046973779,English_WS,production
20,0.35,86.4979572915,English_WS,production
21,0.35,115.3137084877,English_WS,production
22,0.35,149.4942273675,English_WS,production
23,0.35,189.039513931,English_WS,production
24,0.35,233.9495681781,English_WS,production
25,0.35,284.2243901089,English_WS,production
26,0.35,338.0158118854,English_WS,production
27,0.35,388.2422535112,English_WS,production
28,0.35,433.8222498169,English_WS,production
29,0.35,474.7558008026,English_WS,production
30,0.35,511.0429064684,English_WS,production
16,0.4,27.1095003992,English_WS,production
17,0.4,37.878492939,English_WS,production
18,0.4,54.0919749926,English_WS,production
19,0.4,75.74994656,English_WS,production
20,0.4,102.8524076411,English_WS,production
21,0.4,135.3993582361,English_WS,production
22,0.4,173.3907983448,English_WS,production
23,0.4,216.8267279673,English_WS,production
24,0.4,265.7071471036,English_WS,production
25,0.4,319.1263549734,English_WS,production
26,0.4,369.8208125287,English_WS,production
27,0.4,415.9558836881,English_WS,production
28,0.4,457.5315684516,English_WS,production
29,0.4,494.5478668193,English_WS,production
30,0.4,527.0047787912,English_WS,production
16,0.45,31.0530582314,English_WS,production
17,0.45,44.0860797004,English_WS,production
18,0.45,62.7233666953,English_WS,production
19,0.45,86.964919216,English_WS,production
20,0.45,116.8107372625,English_WS,production
21,0.45,152.2608208349,English_WS,production
22,0.45,193.3151699331,English_WS,production
23,0.45,239.9737845571,English_WS,production
24,0.45,292.1877834964,English_WS,production
25,0.45,345.8081211173,English_WS,production
26,0.45,395.429701288,English_WS,production
27,0.45,440.8578680709,English_WS,production
28,0.45,482.0926214661,English_WS,production
29,0.45,519.1339614735,English_WS,production
30,0.45,551.9818880932,English_WS,production
16,0.5,35.8681724157,English_WS,production
17,0.5,53.1643617009,English_WS,production
18,0.5,75.7888271175,English_WS,production
19,0.5,103.7415686655,English_WS,production
20,0.5,137.022586345,English_WS,production
21,0.5,175.6318801559,English_WS,production
22,0.5,219.5694500982,English_WS,production
23,0.5,268.8352961719,English_WS,production
24,0.5,322.8096963924,English_WS,production
25,0.5,374.8990375098,English_WS,production
26,0.5,422.3611239624,English_WS,production
27,0.5,465.1951269925,English_WS,production
28,0.5,503.4010466002,English_WS,production
29,0.5,536.9788827855,English_WS,production
30,0.5,565.9286355483,English_WS,production
16,0.55,40.8216451446,English_WS,production
17,0.55,59.9455433224,English_WS,production
18,0.55,85.3154789521,English_WS,production
19,0.55,116.9314520337,English_WS,production
20,0.55,154.7934625671,English_WS,production
21,0.55,198.9015105524,English_WS,production
22,0.55,249.2555959896,English_WS,production
23,0.55,304.9341540357,English_WS,production
24,0.55,358.4070714409,English_WS,production
25,0.55,407.1537665077,English_WS,production
26,0.55,451.1742392363,English_WS,production
27,0.55,490.4684896265,English_WS,production
28,0.55,525.0365176784,English_WS,production
29,0.55,554.8783233919,English_WS,production
30,0.55,579.993906767,English_WS,production
16,0.6,45.8087169565,English_WS,production
17,0.6,72.6288255122,English_WS,production
18,0.6,103.968587522,English_WS,production
19,0.6,139.8280029859,English_WS,production
20,0.6,180.2070719039,English_WS,production
21,0.6,225.105794276,English_WS,production
22,0.6,274.5241701022,English_WS,production
23,0.6,328.3724078665,English_WS,production
24,0.6,382.0405371876,English_WS,production
25,0.6,430.5142057799,English_WS,production
26,0.6,473.674333359,English_WS,production
27,0.6,511.5209199249,English_WS,production
28,0.6,544.0539654776,English_WS,production
29,0.6,571.2734700172,English_WS,production
30,0.6,593.1794335435,English_WS,production
16,0.65,52.0624532748,English_WS,production
17,0.65,85.8861093101,English_WS,production
18,0.65,122.8519646596,English_WS,production
19,0.65,162.960019323,English_WS,production
20,0.65,206.2102733006,English_WS,production
21,0.65,252.6027265922,English_WS,production
22,0.65,302.137379198,English_WS,production
23,0.65,354.8142311178,English_WS,production
24,0.65,407.6362308851,English_WS,production
25,0.65,454.9889249091,English_WS,production
26,0.65,496.6723780641,English_WS,production
27,0.65,532.6865903501,English_WS,production
28,0.65,563.0315617671,English_WS,production
29,0.65,587.7072923151,English_WS,production
30,0.65,606.7137819941,English_WS,production
16,0.7,59.9734301972,English_WS,production
17,0.7,100.4211678954,English_WS,production
18,0.7,142.5614856311,English_WS,production
19,0.7,186.3943834043,English_WS,production
20,0.7,231.919861215,English_WS,production
21,0.7,279.1379190631,English_WS,production
22,0.7,328.0485569488,English_WS,production
23,0.7,378.6517748719,English_WS,production
24,0.7,430.1597985652,English_WS,production
25,0.7,476.9765448673,English_WS,production
26,0.7,517.7204483478,English_WS,production
27,0.7,552.3913599757,English_WS,production
28,0.7,580.9892797512,English_WS,production
29,0.7,603.5142076742,English_WS,production
30,0.7,619.9661437447,English_WS,production
16,0.75,70.9725504476,English_WS,production
17,0.75,119.916022164,English_WS,production
18,0.75,168.9616009981,English_WS,production
19,0.75,218.1092869498,English_WS,production
20,0.75,267.3590800192,English_WS,production
21,0.75,316.7109802062,English_WS,production
22,0.75,366.1649875109,English_WS,production
23,0.75,415.6625691018,English_WS,production
24,0.75,462.5301171453,English_WS,production
25,0.75,504.1140874803,English_WS,production
26,0.75,540.3574004566,English_WS,production
27,0.75,571.2600560741,English_WS,production
28,0.75,596.822054333,English_WS,production
29,0.75,617.0433952331,English_WS,production
30,0.75,631.9240787745,English_WS,production
16,0.8,81.9546292344,English_WS,production
17,0.8,138.2366638645,English_WS,production
18,0.8,193.1297114388,English_WS,production
19,0.8,246.6337719574,English_WS,production
20,0.8,298.7488454203,English_WS,production
21,0.8,349.4749318275,English_WS,production
22,0.8,398.8120311789,English_WS,production
23,0.8,446.6764220776,English_WS,production
24,0.8,490.5613026636,English_WS,production
25,0.8,529.1157891871,English_WS,production
26,0.8,562.3398816481,English_WS,production
27,0.8,590.2335800467,English_WS,production
28,0.8,612.7968843827,English_WS,production
29,0.8,630.0297946563,English_WS,production
30,0.8,641.9323108674,English_WS,production
16,0.85,97.7556118371,English_WS,production
17,0.85,165.7240800122,English_WS,production
18,0.85,229.3251276899,English_WS,production
19,0.85,288.5587548703,English_WS,production
20,0.85,343.4249615533,English_WS,production
21,0.85,393.923747739,English_WS,production
22,0.85,440.0551134273,English_WS,production
23,0.85,481.8190586183,English_WS,production
24,0.85,519.2155833119,English_WS,production
25,0.85,552.2446875081,English_WS,production
26,0.85,580.9063712069,English_WS,production
27,0.85,605.2006344082,English_WS,production
28,0.85,625.1274771121,English_WS,production
29,0.85,640.6868993186,English_WS,production
30,0.85,651.8789010276,English_WS,production
16,0.9,128.9893348344,English_WS,production
17,0.9,201.2663921587,English_WS,production
18,0.9,268.236700348,English_WS,production
19,0.9,329.9002594023,English_WS,production
20,0.9,386.2570693216,English_WS,production
21,0.9,437.3071301058,English_WS,production
22,0.9,483.0504417551,English_WS,production
23,0.9,523.4870042693,English_WS,production
24,0.9,558.6168176485,English_WS,production
25,0.9,588.4398818926,English_WS,production
26,0.9,612.9561970018,English_WS,production
27,0.9,632.1657629759,English_WS,production
28,0.9,646.068579815,English_WS,production
29,0.9,654.6728808525,English_WS,production
30,0.9,658.4122907895,English_WS,production
8,0.1,2.1810517867,English_WG,comprehension
9,0.1,3.9625652351,English_WG,comprehension
10,0.1,8.1928944201,English_WG,comprehension
11,0.1,14.8720393418,English_WG,comprehension
12,0.1,24.0000000001,English_WG,comprehension
13,0.1,35.576776395,English_WG,comprehension
14,0.1,49.6023685267,English_WG,comprehension
15,0.1,66.076776395,English_WG,comprehension
16,0.1,84.9999999999,English_WG,comprehension
17,0.1,106.3720393415,English_WG,comprehension
18,0.1,130.1928944197,English_WG,comprehension
8,0.15,5,English_WG,comprehension
9,0.15,7.187167736,English_WG,comprehension
10,0.15,12.380751604,English_WG,comprehension
11,0.15,20.580751604,English_WG,comprehension
12,0.15,31.787167736,English_WG,comprehension
13,0.15,46,English_WG,comprehension
14,0.15,63.219248396,English_WG,comprehension
15,0.15,83.4449129239,English_WG,comprehension
16,0.15,106.2100474703,English_WG,comprehension
17,0.15,129.47954264,English_WG,comprehension
18,0.15,153,English_WG,comprehension
8,0.2,8.0000000001,English_WG,comprehension
9,0.2,10.6250000001,English_WG,comprehension
10,0.2,16.5,English_WG,comprehension
11,0.2,25.625,English_WG,comprehension
12,0.2,38,English_WG,comprehension
13,0.2,53.625,English_WG,comprehension
14,0.2,72.5,English_WG,comprehension
15,0.2,94.625,English_WG,comprehension
16,0.2,120.0000000001,English_WG,comprehension
17,0.2,148.6250000001,English_WG,comprehension
18,0.2,180.5000000001,English_WG,comprehension
8,0.25,9,English_WG,comprehension
9,0.25,13.0888888886,English_WG,comprehension
10,0.25,20.4333333328,English_WG,comprehension
11,0.25,31.0333333328,English_WG,comprehension
12,0.25,44.8888888884,English_WG,comprehension
13,0.25,61.9999999998,English_WG,comprehension
14,0.25,82.3666666668,English_WG,comprehension
15,0.25,105.9888888894,English_WG,comprehension
16,0.25,132.8666666677,English_WG,comprehension
17,0.25,163.0000000015,English_WG,comprehension
18,0.25,196.3888888909,English_WG,comprehension
8,0.3,10.2019248936,English_WG,comprehension
9,0.3,15.2746807588,English_WG,comprehension
10,0.3,23.8908662021,English_WG,comprehension
11,0.3,36.0504812233,English_WG,comprehension
12,0.3,51.7535258226,English_WG,comprehension
13,0.3,70.9999999999,English_WG,comprehension
14,0.3,93.7899037553,English_WG,comprehension
15,0.3,120.1232370886,English_WG,comprehension
16,0.3,149.9999999999,English_WG,comprehension
17,0.3,183.4201924893,English_WG,comprehension
18,0.3,220.3838145567,English_WG,comprehension
8,0.35,10.9144918466,English_WG,comprehension
9,0.35,17.8915522508,English_WG,comprehension
10,0.35,28.253388302,English_WG,comprehension
11,0.35,42.0000000001,English_WG,comprehension
12,0.35,59.1313873452,English_WG,comprehension
13,0.35,79.647550337,English_WG,comprehension
14,0.35,103.5484889758,English_WG,comprehension
15,0.35,130.8342032614,English_WG,comprehension
16,0.35,161.5046931939,English_WG,comprehension
17,0.35,195.5599587731,English_WG,comprehension
18,0.35,232.9999999992,English_WG,comprehension
8,0.4,11.4611489,English_WG,comprehension
9,0.4,19.9901289656,English_WG,comprehension
10,0.4,31.9229308375,English_WG,comprehension
11,0.4,47.2595545156,English_WG,comprehension
12,0.4,66,English_WG,comprehension
13,0.4,88.1442672906,English_WG,comprehension
14,0.4,113.6923563875,English_WG,comprehension
15,0.4,142.6442672906,English_WG,comprehension
16,0.4,175,English_WG,comprehension
17,0.4,210.7595545156,English_WG,comprehension
18,0.4,249.9229308375,English_WG,comprehension
8,0.45,12,English_WG,comprehension
9,0.45,22.0333333333,English_WG,comprehension
10,0.45,35.45,English_WG,comprehension
11,0.45,52.25,English_WG,comprehension
12,0.45,72.4333333333,English_WG,comprehension
13,0.45,96,English_WG,comprehension
14,0.45,122.95,English_WG,comprehension
15,0.45,153.2833333333,English_WG,comprehension
16,0.45,187,English_WG,comprehension
17,0.45,224.1,English_WG,comprehension
18,0.45,264.5833333333,English_WG,comprehension
8,0.5,14.9999999995,English_WG,comprehension
9,0.5,25.5459837713,English_WG,comprehension
10,0.5,39.9999999997,English_WG,comprehension
11,0.5,58.3620486846,English_WG,comprehension
12,0.5,80.632129826,English_WG,comprehension
13,0.5,106.6671864025,English_WG,comprehension
14,0.5,135.0891660818,English_WG,comprehension
15,0.5,165.5334372812,English_WG,comprehension
16,0.5,198.0000000007,English_WG,comprehension
17,0.5,232.4888542403,English_WG,comprehension
18,0.5,268.9999999998,English_WG,comprehension
8,0.55,15.9576083672,English_WG,comprehension
9,0.55,29,English_WG,comprehension
10,0.55,45.6400569312,English_WG,comprehension
11,0.55,65.8777791608,English_WG,comprehension
12,0.55,89.7131666888,English_WG,comprehension
13,0.55,117,English_WG,comprehension
14,0.55,146.3297628149,English_WG,comprehension
15,0.55,177.3297628149,English_WG,comprehension
16,0.55,210,English_WG,comprehension
17,0.55,244.3404743703,English_WG,comprehension
18,0.55,280.3511859256,English_WG,comprehension
8,0.6,17.6708342847,English_WG,comprehension
9,0.6,34,English_WG,comprehension
10,0.6,52.997916191,English_WG,comprehension
11,0.6,74.6645828577,English_WG,comprehension
12,0.6,99,English_WG,comprehension
13,0.6,126,English_WG,comprehension
14,0.6,155.4316096443,English_WG,comprehension
15,0.6,187.1474144665,English_WG,comprehension
16,0.6,221.1474144665,English_WG,comprehension
17,0.6,257.4316096443,English_WG,comprehension
18,0.6,296,English_WG,comprehension
8,0.65,24.257142857,English_WG,comprehension
9,0.65,43,English_WG,comprehension
10,0.65,63.9142857144,English_WG,comprehension
11,0.65,87.0000000002,English_WG,comprehension
12,0.65,112.2571428574,English_WG,comprehension
13,0.65,139.685714286,English_WG,comprehension
14,0.65,169.2857142859,English_WG,comprehension
15,0.65,201.0571428573,English_WG,comprehension
16,0.65,235,English_WG,comprehension
17,0.65,271.1142857141,English_WG,comprehension
18,0.65,309.3999999996,English_WG,comprehension
8,0.7,28,English_WG,comprehension
9,0.7,48.7363925445,English_WG,comprehension
10,0.7,71.4030592111,English_WG,comprehension
11,0.7,96,English_WG,comprehension
12,0.7,122.527214911,English_WG,comprehension
13,0.7,150.9781952135,English_WG,comprehension
14,0.7,180.9890976067,English_WG,comprehension
15,0.7,212.3296992022,English_WG,comprehension
16,0.7,244.9999999999,English_WG,comprehension
17,0.7,278.9999999999,English_WG,comprehension
18,0.7,314.3296992023,English_WG,comprehension
8,0.75,36.0692255073,English_WG,comprehension
9,0.75,56.2759595654,English_WG,comprehension
10,0.75,79.0000000002,English_WG,comprehension
11,0.75,104.2413468117,English_WG,comprehension
12,0.75,131.9999999999,English_WG,comprehension
13,0.75,162.2550109932,English_WG,comprehension
14,0.75,193.8353377301,English_WG,comprehension
15,0.75,225.9999999993,English_WG,comprehension
16,0.75,258.7489978007,English_WG,comprehension
17,0.75,292.0823311345,English_WG,comprehension
18,0.75,326.0000000006,English_WG,comprehension
8,0.8,43.6666666595,English_WG,comprehension
9,0.8,67.6666666616,English_WG,comprehension
10,0.8,92.9999999967,English_WG,comprehension
11,0.8,119.6666666649,English_WG,comprehension
12,0.8,147.6666666659,English_WG,comprehension
13,0.8,177,English_WG,comprehension
14,0.8,207.6666666671,English_WG,comprehension
15,0.8,239.6666666671,English_WG,comprehension
16,0.8,273.0000000001,English_WG,comprehension
17,0.8,307.6666666661,English_WG,comprehension
18,0.8,343.666666665,English_WG,comprehension
8,0.85,60.6666666667,English_WG,comprehension
9,0.85,85,English_WG,comprehension
10,0.85,110.6,English_WG,comprehension
11,0.85,137.4666666666,English_WG,comprehension
12,0.85,165.5999999999,English_WG,comprehension
13,0.85,194.9999999999,English_WG,comprehension
14,0.85,225.6666666666,English_WG,comprehension
15,0.85,257.5999999999,English_WG,comprehension
16,0.85,290.7999999999,English_WG,comprehension
17,0.85,325.2666666666,English_WG,comprehension
18,0.85,361,English_WG,comprehension
8,0.9,70.2857142857,English_WG,comprehension
9,0.9,102,English_WG,comprehension
10,0.9,133.3571428572,English_WG,comprehension
11,0.9,164.3571428572,English_WG,comprehension
12,0.9,195,English_WG,comprehension
13,0.9,225.2857142857,English_WG,comprehension
14,0.9,255.2142857142,English_WG,comprehension
15,0.9,284.7857142855,English_WG,comprehension
16,0.9,313.9999999997,English_WG,comprehension
17,0.9,342.8571428566,English_WG,comprehension
18,0.9,371.3571428565,English_WG,comprehension
