id,English_WG,English_WG2,English_WS,English_WS2,Spanish_WG,Spanish_WS,Spanish_WG2,Spanish_WS2,French_Quebec_WG,French_Quebec_WS,French_Quebec_WG2,French_Quebec_WS2,Dutch_WG,Dutch_WS,English_CDI3,English_CDI3B,English_L1,English_L1B,English_L2A,English_L2AB,English_L2B,English_L2BB,Canadian_English_WG,Canadian_English_WG2,Canadian_English_WS,Canadian_English_WS2,Korean_WS
action_words,Action Words,Action Words,Action Words,Action Words,Acciones y Procesos (Verbos),Acciones y Procesos (Verbos),Acciones y Procesos (Verbos),Acciones y Procesos (Verbos),Verbes D’action,Verbes,Verbes D’action,Verbes,Werkwoorden,Werkwoorden,,,,,,,,,Action Words,Action Words,Action Words,Action Words,동사
animals,Animals (Real Or Toy),Animals (Real Or Toy),Animals (Real Or Toy),Animals (Real Or Toy),Animales (de Verdad y de Juguete),Animales (de Verdad y de Juguete),Animales (de Verdad y de Juguete),Animales (de Verdad y de Juguete),Animaux (réels ou jouets),Animaux (réels ou jouets),Animaux (réels ou jouets),Animaux (réels ou jouets),Dierennamen,Dierennamen,,,,,,,,,Animals (Real Or Toy),Animals (Real Or Toy),Animals (Real Or Toy),Animals (Real Or Toy),동물
articles,,,,,Artículos,,Artículos,,,,,,,,,,,,,,,,,,,,
body_parts,Body Parts,Body Parts,Body Parts,Body Parts,Partes del Cuerpo,Partes del Cuerpo,Partes del Cuerpo,Partes del Cuerpo,Parties du Corps,Parties du Corps,Parties du Corps,Parties du Corps,Delen van het lichaam,Delen van het lichaam,,,,,,,,,Body Parts,Body Parts,Body Parts,Body Parts,신체 부위
clothing,Clothing,Clothing,Clothing,Clothing,Ropa,Ropa,Ropa,Ropa,Vêtements,Vêtements,Vêtements,Vêtements,Kleding,Kleding,,,,,,,,,Clothing,Clothing,Clothing,Clothing,옷
connecting_words,,,Connecting Words,Connecting Words,,Conectivos,,Conectivos,,Conjonctions,,Conjonctions,,Voegwoorden,,,,,,,,,,,Connecting Words,Connecting Words,연결하는 말
descriptive_words,Descriptive Words,Descriptive Words,Descriptive Words,Descriptive Words,Cualidades y Atributos,Cualidades y Atributos,Cualidades y Atributos,Cualidades y Atributos,Mots Descriptifs,Mots Descriptifs,Mots Descriptifs,Mots Descriptifs,Omschrijvende woorden,Omschrijvende woorden,,,,,,,,,Descriptive Words,Descriptive Words,Descriptive Words,Descriptive Words,형용사
food_drink,Food And Drink,Food And Drink,Food And Drink,Food And Drink,Alimentos y Bebidas,Alimentos y Bebidas,Alimentos y Bebidas,Alimentos y Bebidas,Nourriture et Boissons,Nourriture et Boissons,Nourriture et Boissons,Nourriture et Boissons,Eten en drinken,Eten en drinken,,,,,,,,,Food And Drink,Food And Drink,Food And Drink,Food And Drink,음식
furniture_rooms,Furniture And Rooms,Furniture And Rooms,Furniture And Rooms,Furniture And Rooms,Muebles y Cuartos,Muebles y Cuartos,Muebles y Cuartos,Muebles y Cuartos,Meubles et Pièces,Meubles et Pièces,Meubles et Pièces,Meubles et Pièces,Meubels en kamers,Meubels en kamers,,,,,,,,,Furniture And Rooms,Furniture And Rooms,Furniture And Rooms,Furniture And Rooms,가구 및 방안
games_routines,Games And Routines,Games And Routines,Games And Routines,Games And Routines,"Rutina Diaria, Reglas Sociales y Juegos","Rutina Diaria, Reglas Sociales y Juegos","Rutina Diaria, Reglas Sociales y Juegos","Rutina Diaria, Reglas Sociales y Juegos",Jeux et Routines,Jeux et Routines,Jeux et Routines,Jeux et Routines,Spelletjes en routines,Spelletjes en routines,,,,,,,,,Games And Routines,Games And Routines,Games And Routines,Games And Routines,일상생활
helping_verbs,,,Helping Verbs,Helping Verbs,,,,,,,,,,Hulpwerkwoorden,,,,,,,,,,,Helping Verbs,Helping Verbs,돕는 말
household,Small Household Items,Small Household Items,Small Household Items,Small Household Items,Utensilios de la Casa,Utensilios de la Casa,Utensilios de la Casa,Utensilios de la Casa,Petits Articles Ménagers,Petits Articles Ménagers,Petits Articles Ménagers,Petits Articles Ménagers,Kleine huishoudelijke voorwerpen,Kleine huishoudelijke voorwerpen,,,,,,,,,Small Household Items,Small Household Items,Small Household Items,Small Household Items,가정용품
locations,Prepositions And Locations,Prepositions And Locations,Prepositions and Locations,Prepositions and Locations,Locativos,Locativos,Locativos,Locativos,"Prépositions, Adverbes et Termes Locatifs",Prépositions et Termes Locatifs,"Prépositions, Adverbes et Termes Locatifs",Prépositions et Termes Locatifs,Voorzetsels en plaatsbepalingen,,,,,,,,,,Prepositions And Locations,Prepositions And Locations,Prepositions and Locations,Prepositions and Locations,위치
outside,Outside Things And Places to Go,Outside Things And Places to Go,Outside Things,Outside Things,Lugares y Objetos Fuera de la Casa,Objetos Fuera de la Casa,Lugares y Objetos Fuera de la Casa,Objetos Fuera de la Casa,Choses de L’extérieur et Endroits où Aller,Choses de L’extérieur,Choses de L’extérieur et Endroits où Aller,Choses de L’extérieur,Voorwerpen en plaatsen buitenshuis,Voorwerpen buitenshuis,,,,,,,,,Outside Things And Places to Go,Outside Things And Places to Go,Outside Things,Outside Things,외부사물
outside_places,Outside Things And Places to Go,Outside Things And Places to Go,Outside Things,Outside Things,Lugares y Objetos Fuera de la Casa,Objetos Fuera de la Casa,Lugares y Objetos Fuera de la Casa,Objetos Fuera de la Casa,Choses de L’extérieur et Endroits où Aller,Choses de L’extérieur,Choses de L’extérieur et Endroits où Aller,Choses de L’extérieur,Voorwerpen en plaatsen buitenshuis,,,,,,,,,,Outside Things And Places to Go,Outside Things And Places to Go,Outside Things,Outside Things,외부사물
people,People,People,People,People,Personas,Personas,Personas,Personas,Gens,Gens,Gens,Gens,Mensen,Mensen,,,,,,,,,People,People,People,People,사람
places,,,Places to Go,Places to Go,,Lugares Fuera de la Casa,,Lugares Fuera de la Casa,,Endroits où Aller,,Endroits où Aller,,Plaatsen buitenshuis,,,,,,,,,,,Places to Go,Places to Go,장소
prepositions,,,,,Preposiciones,Preposiciones y Artículos,Preposiciones,Preposiciones y Artículos,,,,,,Voorzetsels en plaatsbepalingen,,,,,,,,,,,,,
pronouns,Pronouns,Pronouns,Pronouns,Pronouns,Pronombres,Pronombres y Modificadores,Pronombres,Pronombres y Modificadores,Pronoms,Pronoms,Pronoms,Pronoms,Voornaamwoorden,Voornaamwoorden,,,,,,,,,Pronouns,Pronouns,Pronouns,Pronouns,대명사
quantifiers,Quantifiers And Articles,Quantifiers And Articles,Quantifiers And Articles,Quantifiers And Articles,Cuantificadores y Adverbios,Cuantificadores y Adverbios,Cuantificadores y Adverbios,Cuantificadores y Adverbios,Quantificateurs,Quantificateurs et Articles,Quantificateurs,Quantificateurs et Articles,Hoeveelheden,Hoeveelheden en lidwoorden,,,,,,,,,Quantifiers And Articles,Quantifiers And Articles,Quantifiers And Articles,Quantifiers And Articles,"양, 정도"
question_words,Question Words,Question Words,Question Words,Question Words,Preguntas,Preguntas,Preguntas,Preguntas,Mots D’interrogation,Mots D’interrogation,Mots D’interrogation,Mots D’interrogation,Vragende woordjes,Vragende woordjes,,,,,,,,,Question Words,Question Words,Question Words,Question Words,의문사
sounds,Sound Effects And Animal Sounds,Sound Effects And Animal Sounds,Sound Effects And Animal Sounds,Sound Effects And Animal Sounds,Sonidos de Cosas y Animales,Sonidos de Cosas y Animales,Sonidos de Cosas y Animales,Sonidos de Cosas y Animales,Effets Sonores et Sons D’animaux,Effets Sonores et Sons D’animaux,Effets Sonores et Sons D’animaux,Effets Sonores et Sons D’animaux,Geluidseffecten en dierengeluiden,Geluidseffecten en dierengeluiden,,,,,,,,,Sound Effects And Animal Sounds,Sound Effects And Animal Sounds,Sound Effects And Animal Sounds,Sound Effects And Animal Sounds,소리
states,,,,,Estados,Estados,Estados,Estados,,,,,,,,,,,,,,,,,,,
time_words,Words about Time,Words about Time,Words about Time,Words about Time,Tiempo,Tiempo,Tiempo,Tiempo,Mots pour Parler du Temps,Mots pour Parler du Temps,Mots pour Parler du Temps,Mots pour Parler du Temps,Woorden over tijd,Woorden over tijd,,,,,,,,,Words about Time,Words about Time,Words about Time,Words about Time,시간
toys,Toys,Toys,Toys,Toys,Juguetes,Juguetes,Juguetes,Juguetes,Jouets,Jouets,Jouets,Jouets,Speelgoed,Speelgoed,,,,,,,,,Toys,Toys,Toys,Toys,장난감 및 문구류
vehicles,Vehicles (Real Or Toy),Vehicles (Real Or Toy),Vehicles (Real Or Toy),Vehicles (Real Or Toy),Vehículos (de Verdad y de Juguete),Vehículos (de Verdad y de Juguete),Vehículos (de Verdad y de Juguete),Vehículos (de Verdad y de Juguete),Véhicules (réels ou jouets),Véhicules (réels ou jouets),Véhicules (réels ou jouets),Véhicules (réels ou jouets),Voertuigen,Voertuigen,,,,,,,,,Vehicles (Real Or Toy),Vehicles (Real Or Toy),Vehicles (Real Or Toy),Vehicles (Real Or Toy),탈 것
col_1,,,,,,,,,,,,,,,Section 1,Section 1,Section 1,Section 1,Section 1,Section 1,Section 1,Section 1,,,,,
col_2,,,,,,,,,,,,,,,Section 2,Section 2,Section 2,Section 2,Section 2,Section 2,Section 2,Section 2,,,,,
col_3,,,,,,,,,,,,,,,Section 3,Section 3,Section 3,Section 3,Section 3,Section 3,Section 3,Section 3,,,,,
col_4,,,,,,,,,,,,,,,Section 4,Section 4,Section 4,Section 4,Section 4,Section 4,Section 4,Section 4,,,,,
other,,,,,,,,,,,,,,,,,,,,,,,,,,,끝맺는 말
,,,,,,,,,,,,,,,,,,,,,,,,,,,조사
